min_salary;max_salary;currency;language;seniority
"5000;7000PLN";;;python;junior
"8000;11000PLN";;;python;junior
"6000;8000PLN";;;python;junior
"6000;9000PLN";;;python;junior
"2083;2916GBP";;;python;junior
"2000;2500GBP";;;python;junior
"4000;7000PLN";;;python;junior
"6000;9000PLN";;;python;junior
"10500;14000PLN";;;python;mid
"7000;12000PLN";;;python;mid
"7000;10500PLN";;;python;mid
"6000;10000PLN";;;python;mid
"10000;18000PLN";;;python;mid
"11000;16000PLN";;;python;mid
"3500;4500EUR";;;python;mid
"10080;15960PLN";;;python;mid
"7500;15000PLN";;;python;mid
"16000;17000PLN";;;python;mid
"9000;18000PLN";;;python;mid
"9000;18000PLN";;;python;mid
"10000;16000PLN";;;python;mid
"7000;14000PLN";;;python;mid
"9000;18000PLN";;;python;mid
"11760;19320PLN";;;python;mid
"8000;14000PLN";;;python;mid
"8000;16000PLN";;;python;mid
"8500;11000PLN";;;python;mid
"10000;16000PLN";;;python;mid
"6000;11000PLN";;;python;mid
"14000;24000PLN";;;python;mid
"6000;9000PLN";;;python;mid
"15000;30000PLN";;;python;mid
"8000;13000PLN";;;python;mid
"8000;13000PLN";;;python;mid
"8000;12500PLN";;;python;mid
"11000;17500PLN";;;python;mid
"8000;9800PLN";;;python;mid
"8000;15000PLN";;;python;mid
"13000;15000PLN";;;python;mid
"8200;12600PLN";;;python;mid
"12000;19000PLN";;;python;mid
"9000;15500PLN";;;python;mid
"8000;11000PLN";;;python;mid
"8000;11000PLN";;;python;mid
"12500;14000PLN";;;python;mid
"11000;16000PLN";;;python;mid
"7000;12000PLN";;;python;mid
"18000;20000PLN";;;python;mid
"12600;18480PLN";;;python;mid
"7000;13000PLN";;;python;mid
"7000;13000PLN";;;python;mid
"6500;11000PLN";;;python;mid
"9000;13000PLN";;;python;mid
"14300;18500PLN";;;python;mid
"14000;18000PLN";;;python;mid
"13000;16000PLN";;;python;mid
"8000;16000PLN";;;python;mid
"17000;20000PLN";;;python;mid
"8000;14000PLN";;;python;mid
"8000;14000PLN";;;python;mid
"10000;14000PLN";;;python;mid
"8000;16000PLN";;;python;mid
"6000;12000PLN";;;python;mid
"10000;15000PLN";;;python;mid
"10000;14000PLN";;;python;mid
